video_id,class,kinetics_start,kinetics_end,repetition_start,repetition_end,count
41664x2-qJ8,battle rope training,0,10,0.000000,5.005005,12
5-jt3HyflE0,battle rope training,8,18,8.000000,17.542876,44
6mAK1u90BPE,battle rope training,0,10,0.000000,9.783333,15
66806zjlX0Q,battle rope training,99,109,100.000000,103.933333,15
7OUp1pL-Iu0,battle rope training,31,41,31.100000,38.140000,7
7OUp1pL-Iu0,battle rope training,31,41,38.540000,41.000000,5
7eS2fihBToE,battle rope training,3,13,3.000000,12.009009,14
8LXDi2LpoZo,battle rope training,11,21,11.000000,14.355932,13
8LXDi2LpoZo,battle rope training,11,21,15.949153,18.186441,10
888Sm14duJM,battle rope training,4,14,4.000000,13.743076,34
-i2ZylN33X0,battle rope training,110,120,110.000000,116.283333,31
-m5EgnvIT0A,battle rope training,29,39,29.000000,38.943277,14
--oGGqMZmAA,battle rope training,7,17,7.000000,17.000000,11
BFPKPjBgXIU,bench pressing,22,32,22.000000,32.000000,3
DnMx7EjjmFo,bench pressing,11,21,14.160000,21.000000,5
ExiJ7qKakH4,bench pressing,0,10,0.000000,9.977940,6
E9KZOVuBRfA,bench pressing,35,45,35.000000,45.000000,11
FyYRvnHdOgU,bench pressing,3,13,3.700701,10.073740,5
F4wlWyvtxfo,bench pressing,11,21,16.241379,21.000000,4
GBKkhCC_RB0,bench pressing,36,46,36.000000,45.976643,4
HytyY6-U2Cs,bench pressing,62,72,62.000000,69.183490,2
IG71aOJQR60,bench pressing,7,17,8.700000,17.000000,2
KI4qhHcicjQ,bench pressing,28,38,28.000000,38.000000,2
KudgrrM7ep0,bench pressing,15,25,15.000000,21.666667,2
LSZVUPkSswo,bench pressing,8,18,8.000000,14.000135,3
LlhMJGUP2W8,bench pressing,0,10,1.601602,9.209209,2
MLLbKM7T41Y,bench pressing,20,30,20.000000,29.985092,6
MsAZvmo1Nww,bench pressing,16,26,16.000000,23.674341,3
NX5TcYEILhI,bench pressing,0,10,0.000000,8.575242,9
OQG-2AODGnU,bench pressing,16,26,16.000000,25.956361,4
Pc584-1gHSM,bench pressing,25,35,25.270398,33.517542,4
P2hB8qC6a84,bench pressing,16,26,16.000000,25.948946,5
QOGgOFMWd-A,bench pressing,1,11,7.133333,11.000000,3
QfU0gTCDcFg,bench pressing,9,19,9.000000,18.976643,4
Q8hAgtaL-5s,bench pressing,2,12,2.000000,12.000000,5
RANIF8umZiI,bench pressing,16,26,21.400000,26.000000,2
RoX6SR6RyL8,bench pressing,0,10,4.800000,10.000000,3
Ss7rqrjXGJo,bench pressing,11,21,11.000000,18.707708,10
Ss7rqrjXGJo,bench pressing,11,21,19.074741,20.976643,3
S6vQ1lXVuSo,bench pressing,7,17,7.000000,17.000000,5
TBMZywwPn1Q,bench pressing,4,14,10.400000,14.000000,2
T0NBMgnpNBM,bench pressing,39,49,39.000000,48.976643,7
aDMJN5P4frE,bench pressing,41,51,41.000000,51.000000,3
anqK2f6p-bs,bench pressing,0,10,0.000000,10.000000,8
ayf46kiTMe8,bench pressing,0,10,0.000000,5.348130,5
ayf46kiTMe8,bench pressing,0,10,6.284053,9.994318,3
c8u7KHlpLx4,bench pressing,290,300,291.034368,296.573240,2
d8w-VtuwFBA,bench pressing,6,16,11.033333,16.000000,2
ehSg3cfjj6s,bench pressing,611,621,616.438772,620.976643,2
epqJH5Uow30,bench pressing,29,39,29.100100,38.943277,2
fo1u8bJGqGs,bench pressing,170,180,172.335669,179.976643,3
gWszV_R2qsk,bench pressing,3,13,3.000000,13.000000,6
g57EvZXAmAw,bench pressing,4,14,4.000000,11.941275,2
hOKl7sjMeNU,bench pressing,11,21,15.237571,20.976643,4
hiVe2eAjRUw,bench pressing,17,27,17.000000,25.108108,3
k5fWvRy20r0,bench pressing,13,23,13.000000,23.000000,5
lO-QBT_7QqI,bench pressing,7,17,8.801802,14.674341,3
m18y6duHJoE,bench pressing,13,23,13.000000,22.216667,2
nFCFpSgazyU,bench pressing,34,44,34.233333,44.000000,4
sGSKsDVQnN0,bench pressing,15,25,15.000000,19.333333,2
sd4DxaP5yuQ,bench pressing,14,24,14.000000,19.000000,3
ujlIhsqKMI0,bench pressing,13,23,13.000000,19.206206,4
uplZG4ItXHo,bench pressing,22,32,22.800000,32.000000,3
wJy2mDcwOus,bench pressing,4,14,4.000000,14.000000,4
yJQ_zMEBxK4,bench pressing,2,12,2.000000,12.000000,3
1bFWbJLYvvs,bench pressing,3,13,3.000000,9.339673,2
3MbLV9MjhUk,bench pressing,3,13,3.500000,12.966667,6
32L9h_1yByY,bench pressing,16,26,16.000000,25.976643,3
60ec-oicWyE,bench pressing,38,48,38.000000,45.173841,2
7QAMesOwGe8,bench pressing,13,23,13.000000,23.000000,4
-SFnrG0O-2E,bench pressing,191,201,191.000000,197.573240,2
_j-FyEoQ0jg,bench pressing,182,192,189.173841,191.976643,2
CVPWxOBCp7Y,bouncing ball (not juggling),23,33,25.602603,27.070737,3
DDq_MkrReKk,bouncing ball (not juggling),50,60,50.733333,51.050000,2
DKLl6jfqSHY,bouncing ball (not juggling),2,12,2.633967,4.302302,3
DKLl6jfqSHY,bouncing ball (not juggling),2,12,6.904905,9.907908,5
DzGDU949CO0,bouncing ball (not juggling),221,231,223.033333,223.783333,2
D2fP3lx1z1A,bouncing ball (not juggling),4,14,5.900000,8.400000,12
D2fP3lx1z1A,bouncing ball (not juggling),4,14,12.200000,13.966667,5
EECxzwPpbP4,bouncing ball (not juggling),5,15,5.900901,7.869537,2
EECxzwPpbP4,bouncing ball (not juggling),5,15,8.987320,11.072740,8
E2iGLkGeipk,bouncing ball (not juggling),16,26,16.000000,16.500000,3
E2iGLkGeipk,bouncing ball (not juggling),16,26,20.100000,21.533333,6
FLY2D2gE0qs,bouncing ball (not juggling),605,615,605.000000,614.400000,16
FpDag2X2zVA,bouncing ball (not juggling),25,35,25.534813,30.314704,7
FpDag2X2zVA,bouncing ball (not juggling),25,35,32.988769,33.924692,3
F7nJjelg8Yo,bouncing ball (not juggling),0,10,0.000000,9.958333,23
GQJcsl3nwUA,bouncing ball (not juggling),2,12,2.367034,3.835169,7
GQJcsl3nwUA,bouncing ball (not juggling),2,12,10.341675,10.742075,2
GsOoUOMlBP8,bouncing ball (not juggling),8,18,8.000000,15.650000,10
HFlwKbbeFXY,bouncing ball (not juggling),18,28,19.766666,24.400000,2
H4DNu9OjgKU,bouncing ball (not juggling),0,10,3.069736,9.075742,22
IQyJivv_5KU,bouncing ball (not juggling),8,18,10.800000,12.466667,4
IQyJivv_5KU,bouncing ball (not juggling),8,18,15.266667,17.266667,5
Ia75_t6lE0k,bouncing ball (not juggling),56,66,56.966667,57.900000,3
Ia75_t6lE0k,bouncing ball (not juggling),56,66,65.066666,65.866666,2
Iuw-aS1Q2RQ,bouncing ball (not juggling),55,65,55.800801,64.376042,5
I6PShxS_Uf8,bouncing ball (not juggling),0,10,0.000000,0.700000,4
I6PShxS_Uf8,bouncing ball (not juggling),0,10,9.100000,9.666667,4
JBjWZj9Jyk8,bouncing ball (not juggling),7,17,7.000000,9.360000,13
JBjWZj9Jyk8,bouncing ball (not juggling),7,17,10.080000,14.160000,17
JBjWZj9Jyk8,bouncing ball (not juggling),7,17,16.400000,17.000000,5
JQdrQHz_JBo,bouncing ball (not juggling),33,43,33.000000,37.200000,8
JQdrQHz_JBo,bouncing ball (not juggling),33,43,38.833333,43.000000,9
JuJMk7z6oP4,bouncing ball (not juggling),11,21,12.300000,17.133333,9
JuJMk7z6oP4,bouncing ball (not juggling),11,21,18.300000,20.966667,5
Jx_U_gg0aBc,bouncing ball (not juggling),15,25,17.766667,20.466667,5
KD0altvGvC4,bouncing ball (not juggling),45,55,47.800000,50.366667,9
KS2ZGQnxWXk,bouncing ball (not juggling),8,18,13.633333,17.733334,7
KVuwp_GFu70,bouncing ball (not juggling),118,128,118.966667,123.000000,7
KVuwp_GFu70,bouncing ball (not juggling),118,128,126.566667,127.766667,4
KhDjVeu4Xxo,bouncing ball (not juggling),75,85,77.235569,78.236570,2
Ly3IkZBV45A,bouncing ball (not juggling),0,10,0.000000,10.000000,14
MUIWvu58u4E,bouncing ball (not juggling),89,99,89.867534,91.569236,2
MUIWvu58u4E,bouncing ball (not juggling),89,99,93.771438,97.675342,6
NY9M0VS3Z0A,bouncing ball (not juggling),122,132,122.133333,132.000000,15
NrRfQv3N894,bouncing ball (not juggling),63,73,63.600601,71.942276,16
OcdqxcHMuOU,bouncing ball (not juggling),27,37,27.450000,31.950000,5
OpbGowuH5R0,bouncing ball (not juggling),7,17,7.000000,7.800000,2
OpbGowuH5R0,bouncing ball (not juggling),7,17,11.000000,15.733333,8
Ox2i6bKNK-E,bouncing ball (not juggling),57,67,61.683334,63.116667,3
PkA1NjdgZto,bouncing ball (not juggling),68,78,70.800000,72.400000,7
PkA1NjdgZto,bouncing ball (not juggling),68,78,76.400000,77.966667,6
P7GOGlaCBUc,bouncing ball (not juggling),0,10,1.680000,4.800000,3
QofwwWhUYPQ,bouncing ball (not juggling),34,44,36.168836,39.438772,2
Q8HjuZ3Hv1k,bouncing ball (not juggling),8,18,10.700000,17.066667,3
RLeaNDEMuKM,bouncing ball (not juggling),29,39,29.000000,33.056930,7
RQWRtYYctbQ,bouncing ball (not juggling),0,10,1.966667,9.300000,4
S_2Z7IgO88E,bouncing ball (not juggling),1,11,1.133333,6.733333,3
TCgQ9f_6o8w,bouncing ball (not juggling),36,46,39.400000,43.666667,9
T94ugTHMwHU,bouncing ball (not juggling),0,10,4.000000,10.000000,5
UcoP26Ka9kE,bouncing ball (not juggling),5,15,8.370037,12.374041,10
V13S-NADB1Y,bouncing ball (not juggling),0,10,4.733333,10.000000,9
cFVvnI30frg,bouncing ball (not juggling),10,20,12.116667,18.900000,2
dQjeV03_rys,bouncing ball (not juggling),2,12,2.000000,12.000000,13
eJgBfBcJ90Q,bouncing ball (not juggling),10,20,12.440000,20.000000,13
ea1CCha0-S0,bouncing ball (not juggling),37,47,41.080000,45.060000,8
egNaV5U_EJk,bouncing ball (not juggling),24,34,31.130691,33.952907,3
fST8dwZOAbU,bouncing ball (not juggling),0,10,2.469136,8.942276,4
fVU85a0AhQI,bouncing ball (not juggling),0,10,0.000000,10.000000,29
gJUW_cN5Mz8,bouncing ball (not juggling),33,43,36.136470,37.037371,2
hQxd8tVcPiY,bouncing ball (not juggling),4,14,4.000000,4.866667,2
hQxd8tVcPiY,bouncing ball (not juggling),4,14,8.133333,14.000000,14
hbCwq2eJPjk,bouncing ball (not juggling),15,25,15.700000,16.483334,2
hi6lkugoBss,bouncing ball (not juggling),0,10,0.100000,1.700000,5
hi6lkugoBss,bouncing ball (not juggling),0,10,3.233333,4.566667,5
hi6lkugoBss,bouncing ball (not juggling),0,10,6.500000,7.800000,4
hy8m8FJ9jS8,bouncing ball (not juggling),0,10,9.100000,9.966667,2
iGoQXYmIViU,bouncing ball (not juggling),106,116,106.466667,108.066666,3
iGoQXYmIViU,bouncing ball (not juggling),106,116,109.933333,115.966667,8
iIjLjJgMt-Q,bouncing ball (not juggling),28,38,28.000000,34.606607,20
iYvhmiHnB_Y,bouncing ball (not juggling),21,31,22.100000,23.600000,3
iYvhmiHnB_Y,bouncing ball (not juggling),21,31,25.200000,27.800000,6
ic2srH2GS28,bouncing ball (not juggling),336,346,337.500000,339.875000,6
jcb6Vwwq0N4,bouncing ball (not juggling),57,67,57.800000,61.480000,6
jfzqnLQWShw,bouncing ball (not juggling),6,16,11.872539,15.309309,6
kXR_MFXsYpQ,bouncing ball (not juggling),140,150,140.400000,147.133333,12
kXR_MFXsYpQ,bouncing ball (not juggling),140,150,148.033333,149.966667,3
knvxImBTpZI,bouncing ball (not juggling),1,11,3.696781,10.961234,2
k1Co_gOk7qM,bouncing ball (not juggling),3,13,3.000000,5.328878,4
lEPLsVKWkr0,bouncing ball (not juggling),13,23,15.066667,16.933333,5
lEPLsVKWkr0,bouncing ball (not juggling),13,23,19.066667,22.466667,8
lneaVoAZD6U,bouncing ball (not juggling),51,61,51.116667,53.150000,2
l4-nExOlhY8,bouncing ball (not juggling),1,11,5.416666,8.450000,3
mPPiAtlUrnI,bouncing ball (not juggling),56,66,56.300832,57.571013,4
mPPiAtlUrnI,bouncing ball (not juggling),56,66,62.284053,63.387104,4
m25SIEETLew,bouncing ball (not juggling),0,10,1.444444,1.962963,4
m25SIEETLew,bouncing ball (not juggling),0,10,7.388889,7.722222,2
nfRHE7TP0EM,bouncing ball (not juggling),39,49,39.533867,42.737070,7
nfRHE7TP0EM,bouncing ball (not juggling),39,49,47.108108,48.976643,3
oG1pIEm7MN4,bouncing ball (not juggling),79,89,80.166667,88.966667,4
pBXY_zi29a0,bouncing ball (not juggling),18,28,20.733333,24.600000,8
pEgaEth_fZ8,bouncing ball (not juggling),48,58,48.000000,49.877053,3
pEgaEth_fZ8,bouncing ball (not juggling),48,58,51.016692,57.318228,16
pavLZ-4ajlo,bouncing ball (not juggling),42,52,42.150000,48.400000,16
pavLZ-4ajlo,bouncing ball (not juggling),42,52,49.800000,51.700000,5
poNxCziylHM,bouncing ball (not juggling),4,14,4.233333,11.800000,17
poNxCziylHM,bouncing ball (not juggling),4,14,13.133333,14.000000,2
psQid1K2CEg,bouncing ball (not juggling),1,11,1.000000,10.333333,6
puqIspQAWeI,bouncing ball (not juggling),0,10,6.673340,9.809810,3
qIIOP4-EzDU,bouncing ball (not juggling),62,72,63.710043,65.878879,7
qIIOP4-EzDU,bouncing ball (not juggling),62,72,70.883884,71.926593,3
qa8_vEtKSaM,bouncing ball (not juggling),0,10,2.366667,7.966667,9
qqwiEed97hc,bouncing ball (not juggling),0,10,0.933333,9.466667,7
q-OrfGaZbn0,bouncing ball (not juggling),0,10,0.000000,5.066667,23
rGXdiiZOjCc,bouncing ball (not juggling),18,28,18.000000,21.069736,5
rMCYWGDKYNI,bouncing ball (not juggling),15,25,15.000000,24.300000,21
rP81r5zwqgg,bouncing ball (not juggling),7,17,7.000000,10.000000,3
rP81r5zwqgg,bouncing ball (not juggling),7,17,11.133333,15.866667,5
rY0iplVeaK4,bouncing ball (not juggling),1,11,1.000000,1.667334,3
rY0iplVeaK4,bouncing ball (not juggling),1,11,7.406406,8.941275,5
rfJiT4fjsfU,bouncing ball (not juggling),106,116,112.930958,113.868479,4
rfJiT4fjsfU,bouncing ball (not juggling),106,116,115.308243,115.977901,2
r4BPJGxM4xs,bouncing ball (not juggling),10,20,12.866667,20.000000,9
suosBQ2WBg8,bouncing ball (not juggling),9,19,9.000000,10.200000,2
suosBQ2WBg8,bouncing ball (not juggling),9,19,11.333333,16.033333,8
swPcVjBBYMw,bouncing ball (not juggling),0,10,1.133333,4.133333,6
swPcVjBBYMw,bouncing ball (not juggling),0,10,5.950000,7.850000,3
tF9w3kUTE4Q,bouncing ball (not juggling),3,13,6.533333,7.333333,2
tF9w3kUTE4Q,bouncing ball (not juggling),3,13,11.166667,11.766667,2
tHs-a_9GLrE,bouncing ball (not juggling),5,15,5.000000,9.866667,9
tUoD_bpcsnA,bouncing ball (not juggling),43,53,43.300300,52.576243,18
tnI3itsUgVk,bouncing ball (not juggling),8,18,10.250000,16.866667,11
tnI3itsUgVk,bouncing ball (not juggling),8,18,8.950000,10.716667,2
twYN_5lYr1Q,bouncing ball (not juggling),7,17,13.100000,14.000000,4
tzjjj1LGg1s,bouncing ball (not juggling),8,18,12.077949,16.022195,8
u5huVdZJPmk,bouncing ball (not juggling),41,51,41.000000,50.900000,17
vg5WUqsdjwg,bouncing ball (not juggling),24,34,28.733333,30.200000,3
vg5WUqsdjwg,bouncing ball (not juggling),24,34,31.533334,32.233333,2
v95whkDim20,bouncing ball (not juggling),0,10,3.033333,6.450000,9
v95whkDim20,bouncing ball (not juggling),0,10,7.633333,10.000000,4
AVCbGvltAYg,bouncing on bouncy castle,201,211,203.200000,206.000000,3
CNoZJUgAuyY,bouncing on bouncy castle,88,98,88.500000,91.033333,4
D1KphY1X85c,bouncing on bouncy castle,19,29,19.766667,22.100000,3
FF8pR23sRe4,bouncing on bouncy castle,0,10,0.000000,2.200000,3
FF8pR23sRe4,bouncing on bouncy castle,0,10,5.266667,8.333333,4
HZaU81kerXI,bouncing on bouncy castle,180,190,180.600601,186.740073,11
HdJO0vQX7q0,bouncing on bouncy castle,121,131,124.603604,128.207207,5
HdJO0vQX7q0,bouncing on bouncy castle,121,131,129.441775,130.976643,3
Kjb3qMyGmZQ,bouncing on bouncy castle,0,10,0.000000,2.369036,4
Kjb3qMyGmZQ,bouncing on bouncy castle,0,10,3.970638,5.338672,2
KpjlvrtILVQ,bouncing on bouncy castle,12,22,16.800000,19.520000,2
MDFmkkk0ny8,bouncing on bouncy castle,275,285,275.000000,284.968302,3
PXaEZNhr0VE,bouncing on bouncy castle,120,130,123.211813,126.131643,2
P-hSDswDa-E,bouncing on bouncy castle,21,31,21.800000,27.133333,9
RD-28m6ml5U,bouncing on bouncy castle,45,55,48.283333,51.566666,4
R8Bkln2zk-o,bouncing on bouncy castle,0,10,2.966667,9.733333,8
SA9yN_ELrCQ,bouncing on bouncy castle,10,20,12.766667,14.366667,3
SGUbyRdI0ag,bouncing on bouncy castle,133,143,133.000000,137.378781,7
S6I2ydEvB8U,bouncing on bouncy castle,0,10,0.000000,2.289934,3
T33tDwsIV1Y,bouncing on bouncy castle,39,49,43.866667,46.666667,4
UQbMXcf79_E,bouncing on bouncy castle,2,12,5.935484,8.451613,3
Uqio3EhWSxE,bouncing on bouncy castle,12,22,15.103103,16.971638,3
VKxg27feG7o,bouncing on bouncy castle,24,34,24.000000,29.100000,8
VO8FJT3pEJQ,bouncing on bouncy castle,229,239,234.600000,236.760000,3
Yxc15QgFSzw,bouncing on bouncy castle,4,14,10.166667,11.700000,2
aArFdpY5tBg,bouncing on bouncy castle,112,122,114.777469,116.518017,2
bPHcUPkQKBQ,bouncing on bouncy castle,1,11,3.898732,5.400233,2
bPHcUPkQKBQ,bouncing on bouncy castle,1,11,9.863030,10.968302,2
ccFnHZWZlD0,bouncing on bouncy castle,0,10,0.300000,6.400000,2
f6tLPRn_Kl4,bouncing on bouncy castle,82,92,87.538872,89.273941,3
gTMt4y-Pcyg,bouncing on bouncy castle,42,52,43.833334,45.166667,3
g6eKKVMFvxw,bouncing on bouncy castle,1,11,6.700000,8.333333,3
hamIy7l6Auo,bouncing on bouncy castle,29,39,29.800000,32.233334,3
rLEpE2wMzz8,bouncing on bouncy castle,26,36,33.000000,35.040000,4
rQwx9MHUk-w,bouncing on bouncy castle,0,10,0.000000,2.802803,4
tbxB9Af6KSM,bouncing on bouncy castle,80,90,82.200000,86.133333,7
tsaIyvqVseA,bouncing on bouncy castle,0,10,0.000000,10.000000,13
zH6fvoJGRd8,bouncing on bouncy castle,0,10,1.966667,4.250000,2
z1_ynjHX0eg,bouncing on bouncy castle,1,11,1.000000,3.533333,3
0YjMAOLeNK0,bouncing on bouncy castle,16,26,16.000000,18.724138,4
0YjMAOLeNK0,bouncing on bouncy castle,16,26,21.137931,22.844828,2
0YjMAOLeNK0,bouncing on bouncy castle,16,26,23.448276,25.534483,3
0v7kdN3uHj4,bouncing on bouncy castle,85,95,88.700000,95.000000,10
1qxShg4V5U0,bouncing on bouncy castle,0,10,0.000000,6.040055,6
1_ZWDUCNNrE,bouncing on bouncy castle,27,37,27.000000,31.013192,4
2H2sbiE4-PA,bouncing on bouncy castle,39,49,40.083333,41.566667,2
3oosOr65SZ0,bouncing on bouncy castle,39,49,39.000000,41.852853,4
5eUtciybtIc,bouncing on bouncy castle,220,230,226.759954,228.855540,2
5-2erbT9u1U,bouncing on bouncy castle,1,11,8.900000,11.000000,4
6UN-DuAlgH4,bouncing on bouncy castle,0,10,0.375000,3.291667,4
7VLgTRY3QVo,bouncing on bouncy castle,54,64,55.833333,61.100000,10
9OkejGPclbg,bouncing on bouncy castle,103,113,107.466667,109.800000,3
